Step,Upstream Flow,Merging Area Flow,Downstream Flow,Upstream Occupancy,Merging Area Occupancy,Downstream Occupancy,Queue Length,TTTD,Sum Delay Sq,Total Waiting Time,Total Delay,Total Volume
229,900.0,720.0,900.0,9.230246107154016,25.0,0.0,1,,,,,
230,900.0,900.0,900.0,8.886919584292722,6.065694102522912,0.0,1,,,,,
231,1080.0,1080.0,900.0,13.481062078133732,4.004522921828624,0.0,1,,,,,
232,1260.0,1080.0,1080.0,21.08381527212752,0.0,1.4630251509809493,2,,,,,
233,1620.0,1260.0,1260.0,14.29736257681924,6.201504212751274,11.910120067573379,2,,,,,
234,1620.0,1260.0,1440.0,0.0,0.0,13.985612472068473,2,,,,,
235,1620.0,1620.0,1440.0,7.1716072998337195,11.744934133724882,0.0,2,,,,,
236,1800.0,1620.0,1980.0,6.200197602713804,0.0,54.32518477156142,2,,,,,
237,2160.0,1800.0,1980.0,17.87473933853742,20.426287734598958,0.0,2,,,,,
238,2160.0,1980.0,2340.0,0.0,12.066764668737306,16.938259177158937,3,,,,,
239,180.0,0.0,0.0,27.847096769123425,0.0,0.0,3,,,,,
240,540.0,180.0,180.0,18.78581788137268,1.6497986482882254,21.575645400981596,3,,,,,
241,540.0,180.0,540.0,14.479440288387954,0.0,27.23035203738012,2,,,,,
242,1080.0,180.0,540.0,28.08219818007558,0.0,0.0,2,,,,,
243,1080.0,180.0,720.0,11.749312108824958,0.0,17.549262691215972,2,,,,,
244,1440.0,540.0,720.0,11.584536085136202,23.266580817110594,0.0,2,,,,,
245,1440.0,540.0,1260.0,7.143409948291908,0.0,43.509626972599825,3,,,,,
246,1620.0,720.0,1260.0,20.875738864519633,12.679454493698472,0.0,3,,,,,
247,1800.0,720.0,1260.0,12.569199768965214,0.0,0.0,3,,,,,
248,1980.0,900.0,1440.0,13.081218527522273,10.998313445891483,18.0893482766578,3,,,,,
249,2160.0,1080.0,1440.0,10.855920452617815,3.588526277034987,0.0,3,,,,,
250,2160.0,1260.0,1440.0,12.396656241682535,13.338833600456468,0.0,3,,,,,
251,2520.0,1440.0,1440.0,20.361966380576273,17.784439274832664,0.0,3,,,,,
252,2520.0,1620.0,1620.0,8.556912533832891,14.025621766679564,13.43973244045363,4,,,,,
253,2880.0,1980.0,1620.0,16.736890902716084,22.533521449004468,0.0,4,,,,,
254,2880.0,2160.0,1620.0,0.0,12.556239718660578,0.0,4,,,,,
255,3060.0,2340.0,1620.0,22.093225807852452,11.831553438392461,0.0,3,,,,,
256,3240.0,2520.0,1800.0,10.370180654171198,2.3804414733675117,10.657715283502966,3,,,,,
257,3420.0,2700.0,1980.0,9.618915807119302,13.264789567678292,20.654301745404762,3,,,,,
258,3600.0,2700.0,2160.0,1.202685897693338,0.0,9.227388236994708,3,,,,,
259,0.0,180.0,360.0,0.0,12.88834434618309,32.9794780636405,3,,,,,
260,0.0,360.0,540.0,19.953065650223795,12.483331161055844,10.913965475979618,4,,,,,
261,180.0,540.0,720.0,10.737390987683662,14.403777894550274,5.273285853932445,4,,,,,
262,360.0,720.0,1080.0,8.36406648656407,13.387644743984595,25.928454242138816,4,,,,,
263,540.0,1080.0,1080.0,16.01777954664385,20.164359244326135,0.0,4,,,,,
264,720.0,1260.0,1080.0,12.172505143630966,13.1305209077766,0.0,4,,,,,
265,900.0,1440.0,1080.0,31.502734760288337,9.742146071658908,0.0,4,,,,,
266,1080.0,1800.0,1260.0,13.621712331018898,21.405142740840688,13.710221517792812,4,,,,,
