Step,Upstream Flow,Bottleneck Occupancy,Downstream Occupancy,Queue Length,Metering Rate,Green Time,Yellow Time,Red Time
6020,2,6.20490948455199,4.963135202903383,11,1700,15,3,2
6040,2,0.0,6.441723593131125,11,1700,15,3,2
6060,3,2.6219189363700934,17.278139985849823,11,1700,15,3,2
6080,0,4.8262132424497395,0.0,13,1700,15,3,2
6100,0,0.0,4.931891630061121,10,1700,15,3,2
6120,0,9.719367876869,0.0,11,1700,15,3,2
6140,2,17.506576168023003,0.0,10,1700,15,3,2
6160,4,0.0,23.38543617115647,11,1700,15,3,2
6180,0,3.9223537062525793,3.1680584013580906,10,1700,15,3,2
6200,2,6.9751897476066915,0.0,11,1700,15,3,2
6220,2,18.870773661160456,4.6897236004497245,11,1700,15,3,2
6240,4,0.0,9.523697721427501,9,1700,15,3,2
6260,0,1.2898483630237934,18.20093242205682,9,1700,15,3,2
6280,0,7.502414929194856,8.799033049096275,9,1700,15,3,2
6300,4,5.380562253287735,12.304769833872342,7,1700,15,3,2
6320,0,9.261060695962442,0.0,9,1700,15,3,2
6340,0,5.014253207218644,11.508450454751559,11,1700,15,3,2
6360,2,0.0,0.0,10,1700,15,3,2
6380,4,0.0,0.0,12,1700,15,3,2
6400,0,4.904825417577285,19.264281702620185,11,1700,15,3,2
6420,2,0.0,0.0,11,1700,15,3,2
6440,3,4.263399724698047,4.620971663765279,10,1700,15,3,2
6460,2,0.0,3.727590446032991,11,1700,15,3,2
6480,2,0.0,0.0,12,1700,15,3,2
6500,3,7.138601590111193,6.114031520579981,12,1700,15,3,2
6520,1,0.0,9.206511305940998,9,1700,15,3,2
6540,1,12.507615088134116,3.890289268141108,11,1700,15,3,2
6560,2,7.59103347427299,11.931470378734351,10,1700,15,3,2
6580,0,0.0,4.8150800815164985,10,1700,15,3,2
6600,0,0.0,10.819594870887764,11,1700,15,3,2
6620,0,7.2856874705848895,14.90466606433074,11,1700,15,3,2
6640,2,5.343672884043826,0.0,10,1700,15,3,2
6660,2,8.408231611383599,5.945774272231574,9,1700,15,3,2
6680,0,0.0,5.045441472869546,9,1700,15,3,2
6700,1,3.3738838728140763,0.0,10,1700,15,3,2
6720,3,3.706601877115645,3.9298040244375443,10,1700,15,3,2
6740,0,5.497096668079848,4.605218635242636,11,1700,15,3,2
6760,0,3.897270759841831,5.548198305768892,9,1700,15,3,2
6780,0,3.585440829738218,0.0,10,1700,15,3,2
6800,0,0.0,0.0,10,1700,15,3,2
6820,2,4.405386871007977,0.0,11,1700,15,3,2
6840,0,0.0,0.0,10,1700,15,3,2
6860,0,12.025671028834495,0.0,11,1700,15,3,2
6880,1,2.096422288445865,11.650000346071465,12,1700,15,3,2
